"Fund Name","Asset Class","Bloomberg Ticker","CUSIP Number","ISIN Number","Security Name
Base Market Value","Shares/Par Value","Percent of Fund","Interest Rate","Maturity Date"
"MassMutual Global Floating Rate Fund","CASH","","USD","","US DOLLAR
181114.03","181114.03","0.15","0.00",""
"MassMutual Global Floating Rate Fund","CASH","","EUR","","EURO CURRENCY
-206250.61","-192586.51","-0.17","0.00",""
"MassMutual Global Floating Rate Fund","FIXED INCOME","","ACI0FY5Z2","XS1266139895","HOUSE OF FRASER FUNDING SR SECURED REGS 09/20 VAR
189.61","300000.00","0.00","1.00","09/15/2020"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","ACI0TXSW1","XS1577963306","TRAVELEX FINANCING PLC SR SECURED REGS 05/22 8
1004.02","250000.00","0.00","8.00","05/15/2022"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","ACI12F742","XS1814546013","TELE COLUMBUS AG SR SECURED REGS 01/29 10
564368.39","709736.00","0.46","10.00","01/01/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","80643UAB4","US80643UAB44","POLAR US BORROWER, LLC 2018 1ST LIEN TERM LOAN
128583.60","163022.00","0.11","0.00","10/15/2025"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","13134MBQ5","US13134MBQ50","CALPINE CORP TERM LOAN B 1
249062.50","250000.00","0.20","0.00","01/31/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","82925BAE5","US82925BAE56","SINCLAIR TELEVISION GROUP INC TERM LOAN B2B
418046.82","449614.24","0.34","0.00","09/30/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","N9833RAH2","XAN9833RAH20","ZIGGO B V 2019 EUR TERM LOAN H
1048953.15","1000000.00","0.86","0.00","01/31/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","39843PAG8","US39843PAG81","GRIFOLS WORLDWIDE OPERATIONS U 2019 USD TERM LOAN B974685.42","992207.81","0.80","0.00","11/15/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","G3679YAD4","XAG3679YAD40","FRONERI INTERNATIONAL PLC 2020 EUR TERM LOAN
1065145.92","1000000.00","0.87","0.00","01/29/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","23340DAP7","US23340DAP78","CUSHMAN+WAKEFLD US BORWER LLC 2020 TERM LOAN B
25811.98","25819.98","0.02","0.00","08/21/2025"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","938NGLII6","","MATTERHORN TELECOM SA 2020 EUR TERM LOAN B
1069279.79","1000000.00","0.88","0.00","09/15/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","98919XAB7","US98919XAB73","ZAYO GROUP HOLDINGS INC USD TERM LOAN
321237.30","370123.17","0.26","0.00","03/09/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","D6001BAK3","","NIDDA HEALTHCARE HOLDING AG 2020 EUR TL F
1522762.25","1425000.00","1.25","0.00","08/21/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","28414BAF3","US28414BAF31","ELANCO ANIMAL HEALTH INCORPORA TERM LOAN B
984829.82","988953.76","0.81","0.00","08/01/2027"
"MassMutual Global Floating Rate Fund","EQUITY","","936KWK907","","DON JERSEY TOPCO LIMITED ORDINARY A SHARES
98645.81","353106.00","0.08","0.00",""
"MassMutual Global Floating Rate Fund","FIXED INCOME","","31773HAD4","US31773HAD44","GIP PILOT ACQUISITION PRTNRS 2024 TERM LOAN B
218260.72","218260.72","0.18","0.00","10/04/2030"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","78466DBJ2","","SS+C TECHNOLOGIES INC 2024 TERM LOAN B8
583254.50","582601.99","0.48","0.00","05/09/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","N8232NAK3","XAN8232NAK36","NOURYON FINANCE BV 2024 INCREMENTAL TERM LOAN B
217561.50","217018.95","0.18","0.00","04/03/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","42236WAW7","US42236WAW73","HEARTLAND DENTAL LLC 2024 TERM LOAN
496870.32","496250.01","0.41","0.00","04/28/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","11823LAN5","US11823LAN55","BUCKEYE PARTNERS LP 2024 TERM LOAN B2
299094.39","299250.00","0.25","0.00","11/22/2030"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0004FQ5","","GATES GLOBAL LLC 2024 TERM LOAN B5
678369.08","677941.98","0.56","0.00","06/04/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","15477BAE7","US15477BAE74","CENTRAL PARENT INC 2024 TERM LOAN B
679076.16","689501.42","0.56","0.00","07/06/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","88632NBD1","US88632NBD12","CLOUD SOFTWARE GROUP INC 2024 TERM LOAN B
665235.80","666235.15","0.55","0.00","03/30/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0004Q34","","MITCHELL INTERNATIONAL INC 2024 2ND LIEN TERM LOAN 497190.00","500000.00","0.41","0.00","06/07/2032"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0004QK6","","HARBOR FREIGHT TOOLS USA INC 2024 TERM LOAN B
996480.00","1000000.00","0.82","0.00","06/05/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","20902CAX8","US20902CAX83","ALTIUM PACKAGING LLC 2024 TERM LOAN B
430487.75","431566.67","0.35","0.00","06/05/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","C6901LAM9","XAC6901LAM90","1011778 BC UNLIMITED LBLTY CO 2024 TERM LOAN B6
555043.26","557043.04","0.46","0.00","09/20/2030"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0004X85","","OLYMPUS WATER US HOLDING CORP 2024 USD TERM LOAN843656.31","842720.89","0.69","0.00","06/09/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0004XH5","","TECH 7 SAS EUR PIK TRNCH 2 NOTE TERM LOAN
160428.92","66578.00","0.13","0.00","03/31/2026"
